title,text,subject,date
Parliamentary committee reviews draft data protection bill,Parliamentary committee reviews draft data protection bill. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 23, 2025"
National hockey team begins preparatory camp for Asian qualifiers,National hockey team begins preparatory camp for Asian qualifiers. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 20, 2025"
Manufacturing PMI signals expansion for third consecutive month,Manufacturing PMI signals expansion for third consecutive month. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 06, 2025"
Jan Aushadhi program expands affordable medicine list,Jan Aushadhi program expands affordable medicine list. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 01, 2025"
RBI keeps repo rate unchanged in latest monetary review,RBI keeps repo rate unchanged in latest monetary review. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 06, 2025"
Young sprinter breaks national U20 record at trials,Young sprinter breaks national U20 record at trials. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 12, 2025"
Health ministry issues advisory as seasonal influenza cases rise with funding approved in the latest budget,Health ministry issues advisory as seasonal influenza cases rise with funding approved in the latest budget. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 14, 2025"
India announce squad for multi-format cricket series,India announce squad for multi-format cricket series. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 09, 2025"
Chief Minister chairs emergency meeting after local incident with funding approved in the latest budget,Chief Minister chairs emergency meeting after local incident with funding approved in the latest budget. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 15, 2025"
Election Commission rolls out voter outreach program ahead of polls as part of the national development push,Election Commission rolls out voter outreach program ahead of polls as part of the national development push. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 25, 2025"
National hockey team begins preparatory camp for Asian qualifiers,National hockey team begins preparatory camp for Asian qualifiers. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 05, 2025"
Homegrown startup raises Series B to scale AI products,Homegrown startup raises Series B to scale AI products. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 23, 2025"
Manufacturing PMI signals expansion for third consecutive month following recent pilot programs,Manufacturing PMI signals expansion for third consecutive month following recent pilot programs. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 06, 2025"
ISRO conducts successful test of new rocket stage with phased rollout expected next month,ISRO conducts successful test of new rocket stage with phased rollout expected next month. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 28, 2025"
Centre announces new infrastructure fund for rural districts as part of the national development push,Centre announces new infrastructure fund for rural districts as part of the national development push. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 24, 2025"
State hospital inaugurates new critical care wing,State hospital inaugurates new critical care wing. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 10, 2025"
State government launches public health initiative in urban slums to benefit small businesses and MSMEs,State government launches public health initiative in urban slums to benefit small businesses and MSMEs. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 09, 2025"
Health ministry issues advisory as seasonal influenza cases rise,Health ministry issues advisory as seasonal influenza cases rise. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 09, 2025"
Health ministry issues advisory as seasonal influenza cases rise,Health ministry issues advisory as seasonal influenza cases rise. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 12, 2025"
Parliamentary committee reviews draft data protection bill in a move welcomed by analysts,Parliamentary committee reviews draft data protection bill in a move welcomed by analysts. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 12, 2025"
Centre announces new infrastructure fund for rural districts,Centre announces new infrastructure fund for rural districts. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 21, 2025"
Young sprinter breaks national U20 record at trials with phased rollout expected next month,Young sprinter breaks national U20 record at trials with phased rollout expected next month. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 05, 2025"
State hospital inaugurates new critical care wing following recent pilot programs,State hospital inaugurates new critical care wing following recent pilot programs. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 06, 2025"
Parliamentary committee reviews draft data protection bill,Parliamentary committee reviews draft data protection bill. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 06, 2025"
ISRO conducts successful test of new rocket stage,ISRO conducts successful test of new rocket stage. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 29, 2025"
Election Commission rolls out voter outreach program ahead of polls in a move welcomed by analysts,Election Commission rolls out voter outreach program ahead of polls in a move welcomed by analysts. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 11, 2025"
National hockey team begins preparatory camp for Asian qualifiers with phased rollout expected next month,National hockey team begins preparatory camp for Asian qualifiers with phased rollout expected next month. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 24, 2025"
National vaccination drive enters next phase targeting adolescents after stakeholder consultations,National vaccination drive enters next phase targeting adolescents after stakeholder consultations. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 22, 2025"
Major export shipments boost trade surplus this quarter with funding approved in the latest budget,Major export shipments boost trade surplus this quarter with funding approved in the latest budget. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 09, 2025"
Domestic league final set to be played under tight security in a move welcomed by analysts,Domestic league final set to be played under tight security in a move welcomed by analysts. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 09, 2025"
City to host international marathon with record participation,City to host international marathon with record participation. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 19, 2025"
Election Commission rolls out voter outreach program ahead of polls,Election Commission rolls out voter outreach program ahead of polls. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 25, 2025"
Young sprinter breaks national U20 record at trials as officials pledge quicker timelines,Young sprinter breaks national U20 record at trials as officials pledge quicker timelines. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 03, 2025"
Domestic league final set to be played under tight security in a move welcomed by analysts,Domestic league final set to be played under tight security in a move welcomed by analysts. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 10, 2025"
Centre announces new infrastructure fund for rural districts following recent pilot programs,Centre announces new infrastructure fund for rural districts following recent pilot programs. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 28, 2025"
State government launches public health initiative in urban slums,State government launches public health initiative in urban slums. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 23, 2025"
Young sprinter breaks national U20 record at trials,Young sprinter breaks national U20 record at trials. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 29, 2025"
National hockey team begins preparatory camp for Asian qualifiers as part of the national development push,National hockey team begins preparatory camp for Asian qualifiers as part of the national development push. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 08, 2025"
Election Commission rolls out voter outreach program ahead of polls amid calls for greater transparency,Election Commission rolls out voter outreach program ahead of polls amid calls for greater transparency. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 18, 2025"
Parliamentary committee reviews draft data protection bill amid calls for greater transparency,Parliamentary committee reviews draft data protection bill amid calls for greater transparency. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 15, 2025"
State government launches public health initiative in urban slums with phased rollout expected next month,State government launches public health initiative in urban slums with phased rollout expected next month. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 25, 2025"
Government and industry sign pact to boost semiconductor units,Government and industry sign pact to boost semiconductor units. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 24, 2025"
Election Commission rolls out voter outreach program ahead of polls,Election Commission rolls out voter outreach program ahead of polls. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 20, 2025"
Election Commission rolls out voter outreach program ahead of polls,Election Commission rolls out voter outreach program ahead of polls. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 16, 2025"
National hockey team begins preparatory camp for Asian qualifiers,National hockey team begins preparatory camp for Asian qualifiers. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 17, 2025"
Jan Aushadhi program expands affordable medicine list,Jan Aushadhi program expands affordable medicine list. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 25, 2025"
National logistics council approves new port modernization plan,National logistics council approves new port modernization plan. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 24, 2025"
Domestic league final set to be played under tight security to improve urban services in tier-2 cities,Domestic league final set to be played under tight security to improve urban services in tier-2 cities. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 07, 2025"
RBI keeps repo rate unchanged in latest monetary review as officials pledge quicker timelines,RBI keeps repo rate unchanged in latest monetary review as officials pledge quicker timelines. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 14, 2025"
Health ministry issues advisory as seasonal influenza cases rise as part of the national development push,Health ministry issues advisory as seasonal influenza cases rise as part of the national development push. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 14, 2025"
Young sprinter breaks national U20 record at trials following recent pilot programs,Young sprinter breaks national U20 record at trials following recent pilot programs. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 14, 2025"
Parliamentary committee reviews draft data protection bill,Parliamentary committee reviews draft data protection bill. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 18, 2025"
5G adoption crosses new subscriber milestone in several circles to improve urban services in tier-2 cities,5G adoption crosses new subscriber milestone in several circles to improve urban services in tier-2 cities. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 01, 2025"
Homegrown startup raises Series B to scale AI products,Homegrown startup raises Series B to scale AI products. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 27, 2025"
Major export shipments boost trade surplus this quarter as officials pledge quicker timelines,Major export shipments boost trade surplus this quarter as officials pledge quicker timelines. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 26, 2025"
National vaccination drive enters next phase targeting adolescents,National vaccination drive enters next phase targeting adolescents. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 06, 2025"
Parliamentary committee reviews draft data protection bill,Parliamentary committee reviews draft data protection bill. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 22, 2025"
IIT consortium publishes open dataset for agriculture AI with funding approved in the latest budget,IIT consortium publishes open dataset for agriculture AI with funding approved in the latest budget. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 28, 2025"
5G adoption crosses new subscriber milestone in several circles to benefit small businesses and MSMEs,5G adoption crosses new subscriber milestone in several circles to benefit small businesses and MSMEs. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 06, 2025"
AIIMS releases study on cardiac care outcomes after intervention,AIIMS releases study on cardiac care outcomes after intervention. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 15, 2025"
Homegrown startup raises Series B to scale AI products with phased rollout expected next month,Homegrown startup raises Series B to scale AI products with phased rollout expected next month. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 10, 2025"
Centre announces new infrastructure fund for rural districts,Centre announces new infrastructure fund for rural districts. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 09, 2025"
Parliamentary committee reviews draft data protection bill,Parliamentary committee reviews draft data protection bill. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 11, 2025"
Centre announces new infrastructure fund for rural districts to improve urban services in tier-2 cities,Centre announces new infrastructure fund for rural districts to improve urban services in tier-2 cities. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 19, 2025"
State government launches public health initiative in urban slums with phased rollout expected next month,State government launches public health initiative in urban slums with phased rollout expected next month. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 21, 2025"
Domestic league final set to be played under tight security with funding approved in the latest budget,Domestic league final set to be played under tight security with funding approved in the latest budget. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 04, 2025"
National vaccination drive enters next phase targeting adolescents,National vaccination drive enters next phase targeting adolescents. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 03, 2025"
Manufacturing PMI signals expansion for third consecutive month with phased rollout expected next month,Manufacturing PMI signals expansion for third consecutive month with phased rollout expected next month. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 10, 2025"
Election Commission rolls out voter outreach program ahead of polls,Election Commission rolls out voter outreach program ahead of polls. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 24, 2025"
Government and industry sign pact to boost semiconductor units amid calls for greater transparency,Government and industry sign pact to boost semiconductor units amid calls for greater transparency. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 28, 2025"
Government and industry sign pact to boost semiconductor units as part of the national development push,Government and industry sign pact to boost semiconductor units as part of the national development push. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 21, 2025"
Government and industry sign pact to boost semiconductor units after stakeholder consultations,Government and industry sign pact to boost semiconductor units after stakeholder consultations. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 09, 2025"
Government and industry sign pact to boost semiconductor units,Government and industry sign pact to boost semiconductor units. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 23, 2025"
State government launches public health initiative in urban slums,State government launches public health initiative in urban slums. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 20, 2025"
India announce squad for multi-format cricket series,India announce squad for multi-format cricket series. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 30, 2025"
Election Commission rolls out voter outreach program ahead of polls,Election Commission rolls out voter outreach program ahead of polls. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 08, 2025"
Homegrown startup raises Series B to scale AI products amid calls for greater transparency,Homegrown startup raises Series B to scale AI products amid calls for greater transparency. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 31, 2025"
AIIMS releases study on cardiac care outcomes after intervention in a move welcomed by analysts,AIIMS releases study on cardiac care outcomes after intervention in a move welcomed by analysts. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 24, 2025"
Government and industry sign pact to boost semiconductor units in a move welcomed by analysts,Government and industry sign pact to boost semiconductor units in a move welcomed by analysts. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 13, 2025"
Domestic league final set to be played under tight security amid calls for greater transparency,Domestic league final set to be played under tight security amid calls for greater transparency. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 27, 2025"
Major export shipments boost trade surplus this quarter,Major export shipments boost trade surplus this quarter. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 01, 2025"
Homegrown startup raises Series B to scale AI products,Homegrown startup raises Series B to scale AI products. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 10, 2025"
State government launches public health initiative in urban slums,State government launches public health initiative in urban slums. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 11, 2025"
Parliamentary committee reviews draft data protection bill,Parliamentary committee reviews draft data protection bill. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 22, 2025"
City to host international marathon with record participation,City to host international marathon with record participation. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 07, 2025"
RBI keeps repo rate unchanged in latest monetary review,RBI keeps repo rate unchanged in latest monetary review. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 14, 2025"
Domestic league final set to be played under tight security,Domestic league final set to be played under tight security. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 27, 2025"
State government launches public health initiative in urban slums as officials pledge quicker timelines,State government launches public health initiative in urban slums as officials pledge quicker timelines. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 19, 2025"
Government and industry sign pact to boost semiconductor units to benefit small businesses and MSMEs,Government and industry sign pact to boost semiconductor units to benefit small businesses and MSMEs. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 15, 2025"
National logistics council approves new port modernization plan after stakeholder consultations,National logistics council approves new port modernization plan after stakeholder consultations. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 18, 2025"
5G adoption crosses new subscriber milestone in several circles,5G adoption crosses new subscriber milestone in several circles. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 05, 2025"
National logistics council approves new port modernization plan,National logistics council approves new port modernization plan. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 23, 2025"
India announce squad for multi-format cricket series,India announce squad for multi-format cricket series. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 15, 2025"
State hospital inaugurates new critical care wing to benefit small businesses and MSMEs,State hospital inaugurates new critical care wing to benefit small businesses and MSMEs. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 14, 2025"
Government and industry sign pact to boost semiconductor units,Government and industry sign pact to boost semiconductor units. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 09, 2025"
Domestic league final set to be played under tight security with funding approved in the latest budget,Domestic league final set to be played under tight security with funding approved in the latest budget. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 01, 2025"
Centre announces new infrastructure fund for rural districts,Centre announces new infrastructure fund for rural districts. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 18, 2025"
Centre announces new infrastructure fund for rural districts to improve urban services in tier-2 cities,Centre announces new infrastructure fund for rural districts to improve urban services in tier-2 cities. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 12, 2025"
Major export shipments boost trade surplus this quarter,Major export shipments boost trade surplus this quarter. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 04, 2025"
ISRO conducts successful test of new rocket stage with phased rollout expected next month,ISRO conducts successful test of new rocket stage with phased rollout expected next month. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 26, 2025"
Domestic league final set to be played under tight security amid calls for greater transparency,Domestic league final set to be played under tight security amid calls for greater transparency. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 12, 2025"
City to host international marathon with record participation to improve urban services in tier-2 cities,City to host international marathon with record participation to improve urban services in tier-2 cities. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 29, 2025"
City to host international marathon with record participation to benefit small businesses and MSMEs,City to host international marathon with record participation to benefit small businesses and MSMEs. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 19, 2025"
State hospital inaugurates new critical care wing to improve urban services in tier-2 cities,State hospital inaugurates new critical care wing to improve urban services in tier-2 cities. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 14, 2025"
Health ministry issues advisory as seasonal influenza cases rise in a move welcomed by analysts,Health ministry issues advisory as seasonal influenza cases rise in a move welcomed by analysts. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 11, 2025"
Chief Minister chairs emergency meeting after local incident following recent pilot programs,Chief Minister chairs emergency meeting after local incident following recent pilot programs. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 06, 2025"
Health ministry issues advisory as seasonal influenza cases rise following recent pilot programs,Health ministry issues advisory as seasonal influenza cases rise following recent pilot programs. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 03, 2025"
5G adoption crosses new subscriber milestone in several circles,5G adoption crosses new subscriber milestone in several circles. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 20, 2025"
State government launches public health initiative in urban slums with phased rollout expected next month,State government launches public health initiative in urban slums with phased rollout expected next month. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 28, 2025"
State hospital inaugurates new critical care wing after stakeholder consultations,State hospital inaugurates new critical care wing after stakeholder consultations. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 23, 2025"
5G adoption crosses new subscriber milestone in several circles,5G adoption crosses new subscriber milestone in several circles. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 01, 2025"
Parliamentary committee reviews draft data protection bill with funding approved in the latest budget,Parliamentary committee reviews draft data protection bill with funding approved in the latest budget. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 13, 2025"
India announce squad for multi-format cricket series,India announce squad for multi-format cricket series. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 17, 2025"
State hospital inaugurates new critical care wing,State hospital inaugurates new critical care wing. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 25, 2025"
State government launches public health initiative in urban slums following recent pilot programs,State government launches public health initiative in urban slums following recent pilot programs. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 07, 2025"
5G adoption crosses new subscriber milestone in several circles to improve urban services in tier-2 cities,5G adoption crosses new subscriber milestone in several circles to improve urban services in tier-2 cities. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 30, 2025"
Homegrown startup raises Series B to scale AI products,Homegrown startup raises Series B to scale AI products. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 15, 2025"
